,名稱,註冊號碼,地址,統編,緯度,經度,日期
86,虎林食品行,99612911,新北市三重區中正北路25巷21號1樓,1976582,121.4931,25.0625,中華民國59年08月23日 03:38:51
87,王一企業有限公司,99689753,新北市永和區永貞路三二０號一樓,31256006,121.51166,25.00512,中華民國59年08月23日 03:38:51
88,祥茂糖菓工廠,99619694,新北市坪林區坪林里二六號一樓,33821909,121.71284,24.94237,中華民國59年08月23日 03:38:51
89,漢點食品工廠有限公司,99605227,新北市新莊區自立街二一四巷一０弄二二號一樓,22768929,121.45637,25.04497,中華民國59年08月23日 03:38:51
90,順溢油業有限公司,99604153,新北市土城區慶祥街四二號,22223119,121.43691,24.97453,中華民國59年08月23日 03:38:51
91,青峰實業股份有限公司,99605201,新北市中和區中正路1226號5樓之1,20790729,121.47942,25.01099,中華民國59年08月23日 03:38:51
92,信好食品廠,99617575,新北市汐止區大同路一段三三七巷一六弄一八號,2296964,121.63752,25.06095,中華民國59年08月23日 03:38:51
93,聯米企業股份有限公司,99613616,新北市樹林區光武街三六巷一號,86213452,121.41708,25.00633,中華民國59年08月23日 03:38:51
94,青映食品冷凍股份有限公司,99605340,新北市汐止區大同路1段358號,22389173,121.64028,25.06024,中華民國59年08月23日 03:38:51
95,國暉國際有限公司,99604859,新北市新店區中正路五四二之一號四樓,4890618,121.53379,24.98455,中華民國59年08月23日 03:38:51
96,竹軒西點麵包店,99604924,新北市樹林區中山路一段九一號一樓,34205093,121.42339,24.99116,中華民國59年08月23日 03:38:51
97,上發食品廠,99610365,新北市新莊區化成路二九巷八六號,2163161,121.46215,25.04409,中華民國59年08月23日 03:38:51
98,頂嘉麻油食品工廠,99601564,新北市土城區亞洲路五八巷五弄一八號,1927160,121.43412,24.97369,中華民國59年08月23日 03:38:51
99,元福美食品廠,99604287,新北市林口區中正路二五九號一樓,35838807,121.39046,25.07759,中華民國59年08月23日 03:38:51
100,品愿股份有限公司五股廠,99602377,新北市五股區五工三路一二一號,22727456,121.45424,25.06811,中華民國59年08月23日 03:38:51
101,銘洋食品冷凍股份有限公司,99619554,新北市五股區五權八路三三號,22997492,121.44858,25.06893,中華民國59年08月23日 03:38:51
102,振芳食品工廠,99611779,新北市新莊區福營路二二七巷四五及四七號,35325807,121.43044,25.02847,中華民國59年08月23日 03:38:51
103,美佳利蛋糕麵包廠,99618551,新北市新店區寶橋路二一二號,38060415,121.55106,24.97845,中華民國59年08月23日 03:38:51
104,五魚實業有限公司,99603566,新北市樹林區三俊街七四巷四四號,34685115,121.41382,25.0138,中華民國59年08月23日 03:38:51
105,宏鑫碾米廠,99617864,新北市中和區中正路一二０六巷四號,2377071,121.48032,25.01086,中華民國59年08月23日 03:38:51
106,漢軒食品廠股份有限公司,99689655,新北市新店區民權路九０巷三五號三樓,22748282,121.53642,24.98409,中華民國59年08月23日 03:38:51
107,晶品股份有限公司新莊廠,99602254,新北市五股區五工路一二六號,22394204,121.45126,25.06862,中華民國59年08月23日 03:38:51
